,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,staid,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName,agency_cd,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
324,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,Nitrite,Dissolved,,,,Accepted,,Actual,,,,,,,613,,,,,,DZ001,USGS,"Nitrite, wf, DA, diazo",,"USGS-National Water Quality Lab, Denver, CO",2020-05-28,,Detection limit by DQCALC,0.001,mg/l as N,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
325,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Nitrate,Dissolved,0.236,mg/l as N,,Accepted,,Actual,,,,,,,618,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
326,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.236,mg/l as N,,Accepted,,Actual,,,,,,,631,,,,,,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2020-05-27,,Detection limit by DQCALC,0.04,mg/l as N,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
327,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Orthophosphate,Dissolved,0.034,mg/l asPO4,,Accepted,,Actual,,,,,,,660,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
328,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Orthophosphate,Dissolved,0.011,mg/l as P,,Accepted,,Actual,,,,,,,671,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2020-05-28,,Detection limit by DQCALC,0.004,mg/l as P,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
329,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Organic carbon,Dissolved,0.52,mg/l,,Accepted,,Actual,,,,,,,681,,,,,,CMB15,USGS,"DOC, wf, 0.45 um cap, combust IR",USGS NWQL Rapi-Note 17-21,"USGS-National Water Quality Lab, Denver, CO",2020-06-10,,Blank-adjusted method detect limit,0.23,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
330,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Hardness, Ca, Mg",,152.0,mg/l CaCO3,,Accepted,,Actual,,,,,,,900,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
331,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Calcium,Dissolved,48.2,mg/l,,Accepted,,Actual,,,,,,,915,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.022,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
332,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Magnesium,Dissolved,7.64,mg/l,,Accepted,,Actual,,,,,,,925,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.01,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
333,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Sodium,Dissolved,7.58,mg/l,,Accepted,,Actual,,,,,,,930,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.4,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
334,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.27,None,,Accepted,,Actual,,,,,,,931,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
335,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Sodium, percent total cations",,10.0,%,,Accepted,,Actual,,,,,,,932,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
336,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Potassium,Dissolved,1.9,mg/l,,Accepted,,Actual,,,,,,,935,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.3,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
337,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Chloride,Dissolved,3.69,mg/l,,Accepted,,Actual,,,,,,,940,,,,,,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-06-03,,Detection limit by DQCALC,0.02,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
338,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Sulfate,Dissolved,10.4,mg/l,,Accepted,,Actual,,,,,,,945,,,,,,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-06-03,,Detection limit by DQCALC,0.02,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
339,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Fluoride,Dissolved,0.39,mg/l,,Accepted,,Actual,,,,,,,950,,,,,,IC003,USGS,"Fluoride, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-06-03,,Detection limit by DQCALC,0.01,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
340,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Silica,Dissolved,16.0,mg/l,,Accepted,,Actual,,,,,,,955,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.05,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
341,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,Iron,Dissolved,,,,Accepted,,Actual,,,,,,,1046,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,10.0,ug/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
342,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,Manganese,Dissolved,,,,Accepted,,Actual,,,,,,,1056,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.2,ug/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
343,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Depth, from ground surface to well water level",,16.3,m,,Accepted,,Actual,,,,,,,30210,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
344,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Alkalinity,Dissolved,155.0,mg/l CaCO3,,Accepted,,Actual,,,,,,,39086,,,,,,TT061,USGS,"Alkalinity, IPT, Hach",USGS National Field Manual,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
345,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,5-Tolyltriazole,Recoverable,,,,Accepted,,Actual,,,,,,,61944,,,,,,,,,,"State Laboratory of Hygiene, Wisconsin",2020-11-16,,Lower limit of detection,0.25,ug/l,2020-11-16,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
346,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,0.25,mg/l,,Accepted,,Actual,,,,,,,62854,,,,,,CL063,USGS,"Nutrients, wf, FCC,persulfate,CF",USGS WRI 03-4174,"USGS-National Water Quality Lab, Denver, CO",2020-06-02,,Detection limit by DQCALC,0.05,mg/l,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
347,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000223,Sample-Routine,Water,Groundwater,2020-05-19,18:10:00,MDT,,,,54.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433605110443801,,,Not applicable,Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Oxidation reduction potential (ORP),,142.0,mV,,Accepted,,Actual,,,,,,,63001,,,,,,,,,,,,,,,,,NWIS,USGS,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
